Study_Hours,Attendance,Previous_Marks,Result
3.3,69.5,54.6,0
4.1,54.8,60.0,0
3.7,87.9,79.1,1
4.7,69.7,62.7,1
7.2,88.5,67.4,1
5.3,79.0,53.6,1
4.7,72.3,58.6,0
2.8,78.5,52.3,0
1.5,98.0,48.3,0
4.0,98.0,86.0,1
4.9,74.9,77.8,1
8.7,76.1,82.4,1
5.3,88.0,56.4,1
7.1,63.0,70.5,1
4.0,78.3,65.0,1
2.5,73.7,57.2,0
3.0,78.1,68.2,0
3.5,63.2,58.3,0
9.5,53.3,72.7,1
3.3,47.1,52.1,0
6.8,59.5,63.3,0
3.1,68.0,34.6,0
7.0,70.2,65.0,1
5.8,98.0,65.0,1
4.7,88.4,51.3,1
4.9,61.5,72.1,0
3.6,78.5,74.8,1
5.9,68.7,74.2,1
4.0,70.3,58.4,0
2.4,76.4,67.0,0
2.3,82.0,55.3,0
5.4,69.6,61.5,1
8.3,87.8,63.0,1
5.3,59.2,59.5,1
4.8,74.1,60.0,0
5.6,98.0,57.0,1
7.7,76.9,68.0,1
5.5,92.6,67.0,1
4.1,75.2,75.8,1
7.3,81.6,77.9,1
5.9,73.3,62.3,1
8.2,71.8,70.6,1
5.4,63.9,57.9,0
2.4,79.6,52.6,0
2.1,62.9,37.1,0
8.5,82.7,71.2,1
8.6,88.1,67.5,1
4.6,78.8,48.0,0
4.2,70.3,61.5,1
8.1,79.9,74.6,1
2.7,70.0,34.2,0
3.1,86.2,57.6,1
6.4,50.2,65.4,1
4.2,69.6,66.7,1
5.0,48.1,61.1,0
4.7,54.6,52.7,0
5.7,91.7,59.6,1
8.0,85.6,61.5,1
5.2,64.6,60.6,0
6.4,54.5,60.8,0
1.0,42.0,50.4,0
4.9,66.9,68.1,1
3.2,98.0,61.9,1
2.4,79.7,42.2,0
3.2,66.7,49.1,0
4.3,80.0,62.2,1
6.9,53.7,56.1,1
2.2,70.1,44.9,0
5.1,75.3,63.2,1
4.0,72.9,51.7,0
4.3,84.3,55.3,1
7.1,78.5,70.5,1
6.1,82.7,62.0,1
7.8,65.1,67.1,1
4.7,85.7,65.9,1
3.5,95.2,51.7,1
4.5,61.4,49.3,0
5.5,62.5,71.7,1
5.4,91.4,55.5,1
2.7,71.5,31.4,0
5.2,92.2,48.2,1
5.5,68.2,59.6,0
10.3,92.9,81.7,1
8.9,75.7,70.2,1
3.2,77.4,68.2,0
4.4,94.3,38.6,0
1.9,69.3,53.5,0
3.8,61.8,67.9,0
5.7,68.2,48.6,0
7.5,79.9,65.2,1
3.5,53.6,41.0,0
3.6,82.3,49.9,1
1.0,67.0,43.0,0
4.7,88.9,78.5,1
2.8,42.9,61.2,0
3.9,63.8,49.9,0
3.2,52.1,66.2,0
4.8,63.3,56.0,0
1.3,77.2,68.2,0
1.9,71.7,49.5,0
9.5,70.7,72.7,1
2.3,71.9,55.3,0
2.7,76.6,86.2,1
8.9,60.9,74.7,1
11.0,83.2,72.8,1
2.5,82.6,65.6,1
4.2,79.0,55.8,1
5.7,81.2,59.5,1
8.6,77.9,80.4,1
2.9,98.0,62.7,1
4.5,72.9,60.9,1
6.6,70.0,63.1,1
5.9,64.2,62.4,1
4.2,60.6,57.2,0
4.7,57.8,34.0,0
2.1,62.4,54.4,0
4.5,73.1,48.4,0
4.4,78.3,45.3,0
5.5,74.7,61.0,1
3.8,64.0,53.9,0
6.0,85.7,59.9,1
7.1,83.6,77.5,1
5.3,71.9,46.6,1
5.7,65.5,54.8,1
5.1,81.1,56.8,1
5.0,76.4,60.3,1
3.5,55.2,51.9,0
5.7,73.1,51.5,0
4.8,77.4,67.8,1
9.4,62.3,68.8,1
8.3,76.5,51.1,1
5.8,55.1,35.9,0
3.4,91.4,61.4,1
2.7,90.2,56.9,1
7.5,70.7,64.7,1
5.6,78.7,62.9,1
6.0,42.7,54.0,0
1.3,59.0,53.8,0
6.9,70.2,52.8,1
6.0,60.1,46.1,0
2.7,83.3,45.8,0
4.0,98.0,68.4,1
5.6,58.7,68.7,0
5.1,63.1,52.1,0
4.4,77.1,34.3,0
4.8,94.9,49.6,1
4.5,58.1,44.6,0
5.3,77.2,56.3,1
8.1,97.7,72.8,1
1.0,52.5,41.6,0
4.5,57.3,49.5,0
5.4,68.5,69.6,1
5.6,67.2,52.4,0
4.2,84.6,52.7,0
1.3,77.1,55.4,0
5.7,50.9,38.4,0
